issue_number,title,creator,assignees
9836,``poetry install`` doesn't add license files to ``dist-info`` directory,andreasdoll,Secrus
9702,Poetry installed on Python 3.8 cannot install Python 3.7 venv,alienorlgrst,Secrus
9680,Implement a `poetry report <command>` command or something similar for when filing issues,bmitc,Secrus
9666,Suggest running with `--no-cache` before submitting a bug report,vit-zikmund,Secrus
9646,Homepage doesn't show up on PyPI,notpushkin,Secrus
9629,Add coverage report on testing,estepona,Secrus
9481,pip install poetry not working due to latest version of cmake,shruti753,Secrus
9470,"PermissionError during poetry lock when source is git, with virtualenvs.create=false",Alan-Chen99,Secrus
9436,"Error: Invalid source ""pypi"" referenced in dependencies.",niderhoff,Secrus
9390,Option to always create `src` folder when using `poetry new` command,Heus-Sueh,Secrus
9368,Enable `poetry version postrelease` to create version numbers like 1.0.0post1,dfm-vmd,Secrus
9366,"`poetry cache clear --all` Not enough arguments (missing: ""cache"")",brussee,Secrus
9351,Poetry builds broken with PEP 517 error because of pyproject-hooks update on 4/29,mdagost,Secrus
9321,feat: poetry env remove should display full path if using in-project virtualenvs,jonathanpv,Secrus
9263,Parallelize removing deps in `poetry intall --sync`,adriangb,Secrus
9249,Add truststore support to use system certificate store,nullSoup,Secrus
8807,build-system.requires ignored for tool.poetry.build.script,cavedon,Secrus
8699,`poetry build -C` prefixes directory twice,nishantjr,liortct
8618,`poetry self update` fails for `pipx`-installed `poetry`,ilyagr,Secrus
8566,The Windows path in the installation tutorial is incorrect.,brokedarius,Secrus
8533,"**Opt-in** to ask confirmation before system changes, listing Venv and packages changes",pep-sanwer,Secrus
8508,Add CITATION.cff to repository,tiboat,Secrus
8441,feat: add well-known legal files to build result automatically,jkowalleck,Secrus
8157,poetry should not prepend `sys.path` with `__vendor_site__`,mhils,Secrus
8131,"""Basic Usage"" guide may include specific instructions for existing poetry projects",Zocker1999NET,Secrus
8079,Custom Virtual Env Name Not used,jainal09,Secrus
7940,Add support for publishing to PyPI with a trusted publisher,sisp,Secrus
7723,poetry publish uses pyproject.toml instead of built artifacts for metadata,kapilt,Secrus
7669,Support reading metadata from PEP 621 compliant pyproject.toml,ughstudios,Secrus
7601,Document ability to set verbosity level through environment variable,benbariteau,Secrus
7073,[Feature Request] `poetry init`  and `poetry new` could/should respect `virtualenvs.prefer-active-python` configuration option,david-vicente,finswimmer
